"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"TMEM139",-3.4763,0.000436404114855445,0.0043440732979026,0,0.235,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.00286209964598003,0.421323187322534,0.37538463902383,"Not structured"
"STAG3",3.4706,1.34617954512711e-10,6.35486159439523e-09,0.195,0.024,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0347329094768612,0.0148248787712768,1.82900884934183,"Weakly structured"
"LTB",3.4649,1.7335361364156e-29,2.7721409741456e-26,0.829,0.199,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.327145763891651,3.76464822493264e-92,91.4242755987749,"Spatially structured"
"ABI3BP",3.4527,8.08719347667309e-10,3.32086131357277e-08,0.171,0.02,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0463014989081001,0.00184606663311364,2.73375262732349,"Weakly structured"
"NRCAM",3.445,1.56077556739681e-09,6.06899751784419e-08,0.146,0.015,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0290830395081819,0.0333869950143346,1.47642266772075,"Weakly structured"
"CLEC4D",3.4262,2.19354472935206e-05,0.000340145669364859,0.073,0.007,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,-0.00931797678453058,0.714448555415666,0.146029037556654,"Not structured"
"GJC3",3.4262,5.53356567656835e-05,0.000759559074037971,0.073,0.008,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0156947890818861,0.153249949202325,0.814599660764873,"Not structured"
"TNFRSF13B",3.4262,1.93078417657566e-06,3.88984597967439e-05,0.122,0.017,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.0324033577799575,0.0200927538487503,1.69696053615599,"Weakly structured"
"DHRS9",-3.4204,4.80497285195497e-07,1.12093209148967e-05,0.098,0.5,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.575492401181374,6.52500571798485e-280,279.185419103409,"Spatially structured"
"LINC01133",-3.4182,1.76801095907387e-07,4.45239452744725e-06,0.073,0.494,"Example_Visium","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,41,1212,TRUE,FALSE,2,12793,0.339883485502145,6.62103714503581e-99,98.1790739756531,"Spatially structured"
