"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","spatial_class"
"IKZF3",1.7417,0.000485612183098658,0.0182700130773344,0.243,0.085,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.164922593394983,0.0514271918787033,"Not structured"
"ZDHHC1",1.7194,0.000500335534922533,0.0185612847746145,0.243,0.086,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0104367081852355,0.735585246943925,"Not structured"
"TMEM43",1.7192,0.00107455744152843,0.033742795880436,0.243,0.093,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.315744447599308,0.000250993640759826,"Spatially structured"
"CD69",1.6834,6.75013156449007e-05,0.00423929522506872,0.216,0.059,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0482703430423882,0.514824874004888,"Not structured"
"IGHGP",1.6667,7.92852869102679e-09,1.97618577623843e-06,0.865,0.629,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.196605956200204,0.0257657233396968,"Weakly structured"
"CCL5",1.6646,6.45329812512266e-05,0.00415379816495419,0.459,0.216,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0560138835497457,0.891133151808677,"Not structured"
"LCP1",1.6276,1.80547406974065e-05,0.00150004803960953,0.486,0.228,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0422203078480799,0.541537336235071,"Not structured"
"DPYS",-1.5981,4.45350330817098e-05,0.00301026630389591,0.162,0.559,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.0882076859423517,0.891133151808677,"Not structured"
"NEMF",1.5435,7.41151249725908e-05,0.00454724797524142,0.351,0.136,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,-0.00414337937652863,0.806067877585258,"Not structured"
"MPHOSPH8",1.5207,0.000107553863067585,0.00595728897102122,0.351,0.138,"P2N_Spatial","ROI 1","Rest","wilcox","Spatial",0.25,0.05,0.05,37,3619,TRUE,FALSE,2,298,0.0139647334818105,0.72247627592266,"Not structured"
