"gene","avg_log2FC","p_val","p_val_adj","pct_roi","pct_rest","sample","roi","reference","test","expression_assay","logfc_cutoff","fdr_cutoff","min_pct","n_spots_roi","n_spots_rest","passes_selected_filters","complete_gene_table","analysis_format_version","n_genes_tested","Moran_I","Moran_padj","Moran_neglog10_padj","spatial_class"
"CLTA",-0.7685,0.000330693895172381,0.00675323637863417,0.314,0.508,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.122315230627411,6.2582988267861e-39,38.2035437036178,"Weakly structured"
"CIAO2B",-0.7675,0.00373071971421346,0.0401302509939121,0.163,0.306,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0691169959998128,9.90441994134291e-14,13.0041709541134,"Weakly structured"
"H3F3A",-0.7674,5.12762198912456e-06,0.000294564750469331,0.779,0.822,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.193809720233772,1.39701170974601e-94,93.8547999536161,"Weakly structured"
"PPP1CA",-0.7673,0.00115155157759912,0.0178464904430276,0.244,0.429,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.128543394566101,8.88409659832365e-43,42.0513867279386,"Weakly structured"
"EIF1AX",-0.7656,0.00185903013634406,0.0248749330930216,0.267,0.438,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.115388065386999,7.20809353004493e-35,34.1421795867184,"Weakly structured"
"ANAPC11",-0.7652,0.0012740379444247,0.0191020116651715,0.221,0.406,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0627099300497861,1.28154826795331e-11,10.8922650319994,"Weakly structured"
"SNHG25",-0.7623,8.32713657386063e-07,6.54848941970707e-05,0.872,0.919,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.452245489581817,0,504.666247223693,"Spatially structured"
"PRAP1",-0.762,0.00088194419133745,0.0145342457267284,0.233,0.419,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.0576537059188823,4.30350318931948e-10,9.36617787084324,"Weakly structured"
"C6",0.7617,0.00203093913906036,0.0264257901040292,0.337,0.203,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.144120507211993,2.83856766874547e-53,52.546900748149,"Weakly structured"
"SNRPG",-0.7602,0.00254418536887722,0.0308235789703307,0.291,0.446,"CaseStudy1_CRLM","TLS","Rest","wilcox","SCT",0.25,0.05,0.05,86,3635,TRUE,FALSE,2,8965,0.178802188101755,8.13332167444278e-81,80.0897320509296,"Weakly structured"
